submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
07/28/2020,NYC,"225,850","221,220","4,630",309,-4,"23,512","18,887","4,625",5,-4,07/29/2020 02:34:46 PM,Agree,Agree
08/12/2020,NJ,"188,697",,,518,55,"15,885","14,046","1,839",-5,-14,02/19/2021 01:38:31 PM,Not agree,Agree
05/20/2020,IN,"29,274",,,569,0,"1,864","1,716",148,40,2,05/21/2020 03:41:38 PM,Not agree,Agree
10/06/2020,MA,"143,255","133,359","9,896",454,0,"9,531","9,323",208,8,0,10/07/2020 01:45:01 PM,Agree,Agree
12/02/2020,MI,"402,886","373,197","29,689","7,433",478,"9,842","9,405",437,83,2,12/03/2020 03:21:08 PM,Agree,Agree
10/29/2020,CA,"912,904",,,"4,191",0,"17,541",,,66,0,10/30/2020 01:37:23 PM,Not agree,Not agree
03/24/2020,MP,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
10/26/2020,KS,"78,676","73,007","5,669","2,446",0,976,,,1,-53,10/27/2020 01:47:53 PM,Agree,N/A
07/10/2020,MO,"26,661",,,662,0,"1,064",,,13,0,07/11/2020 06:25:05 PM,Not agree,Not agree
07/19/2020,OR,"14,579","14,579",0,430,0,260,260,0,3,0,07/20/2020 02:35:44 PM,Agree,Agree
04/07/2020,GA,"8,950","8,945",5,"1,562",1,351,,,32,,04/07/2020 12:22:39 PM,Agree,Agree
01/13/2021,AK,"49,203",,,406,0,225,,,2,0,01/14/2021 03:12:46 PM,N/A,N/A
11/19/2020,WA,"137,411",,,"1,987",0,"2,603",,,11,0,11/20/2020 03:06:16 PM,N/A,N/A
04/03/2020,AK,157,,,10,,3,,,0,,04/03/2020 04:22:39 PM,N/A,N/A
10/12/2020,IA,"100,194",,,509,46,"1,472",,,12,0,10/13/2020 01:29:38 PM,Not agree,Not agree
