STATE,TIME,MR,PD,HDI,GINI,BEDS,PR,SR,AT,MA,T60,T90,T120
New Jersey,120,0.17392792484440162,1215.1985,0.943,0.464,2.4,0.1018,0.13699999999999998,52.7,39.8,0,0,1
New Mexico,30,0.002102818254374101,17.285,0.9,0.464,1.8,0.1961,0.175,53.4,37.5,0,0,0
New Mexico,60,0.012377952906429367,17.285,0.9,0.464,1.8,0.1961,0.175,53.4,37.5,1,0,0
New Mexico,90,0.02102818254374101,17.285,0.9,0.464,1.8,0.1961,0.175,53.4,37.5,0,1,0
New Mexico,120,0.0266197674474176,17.285,0.9,0.464,1.8,0.1961,0.175,53.4,37.5,0,0,1
New York,30,0.025730815301883425,412.5218,0.942,0.499,2.7,0.1426,0.141,45.4,38.7,0,0,0
New York,60,0.12986721716746946,412.5218,0.942,0.499,2.7,0.1426,0.141,45.4,38.7,1,0,0
New York,90,0.1559191579376609,412.5218,0.942,0.499,2.7,0.1426,0.141,45.4,38.7,0,1,0
New York,120,0.1638147666743125,412.5218,0.942,0.499,2.7,0.1426,0.141,45.4,38.7,0,0,1
North Carolina,30,8.468234274685888e-4,218.271,0.905,0.464,2.1,0.1501,0.172,59,38.6,0,0,0
North Carolina,60,0.005878530072078459,218.271,0.905,0.464,2.1,0.1501,0.172,59,38.6,1,0,0
North Carolina,90,0.010752688172043012,218.271,0.905,0.464,2.1,0.1501,0.172,59,38.6,0,1,0
North Carolina,120,0.014799716412619639,218.271,0.905,0.464,2.1,0.1501,0.172,59,38.6,0,0,1
North Dakota,30,0.0011964887044819139,11.0393,0.942,0.433,4.3,0.1054,0.183,40.4,35.1,0,0,0
North Dakota,60,0.006514216279957086,11.0393,0.942,0.433,4.3,0.1054,0.183,40.4,35.1,1,0,0
North Dakota,90,0.010103682393402827,11.0393,0.942,0.433,4.3,0.1054,0.183,40.4,35.1,0,1,0
North Dakota,120,0.012230773423592897,11.0393,0.942,0.433,4.3,0.1054,0.183,40.4,35.1,0,0,1
Ohio,30,0.002353567716609832,287.504,0.913,0.452,2.8,0.1414,0.21100000000000002,50.7,39.3,0,0,0
Ohio,60,0.012738470524570732,287.504,0.913,0.452,2.8,0.1414,0.21100000000000002,50.7,39.3,1,0,0
Ohio,90,0.021560054630257945,287.504,0.913,0.452,2.8,0.1414,0.21100000000000002,50.7,39.3,0,1,0
Ohio,120,0.026267190063477608,287.504,0.913,0.452,2.8,0.1414,0.21100000000000002,50.7,39.3,0,0,1
Oklahoma,30,0.0035476016681384535,57.6546,0.894,0.454,2.8,0.1551,0.201,59.6,36.4,0,0,0
Oklahoma,60,0.007350426477869602,57.6546,0.894,0.454,2.8,0.1551,0.201,59.6,36.4,1,0,0
Oklahoma,90,0.009290122353974079,57.6546,0.894,0.454,2.8,0.1551,0.201,59.6,36.4,0,1,0
Oklahoma,120,0.011357429800874905,57.6546,0.894,0.454,2.8,0.1551,0.201,59.6,36.4,0,0,1
Oregon,30,0.0011759114538675238,44.8086,0.929,0.449,1.6,0.1385,0.161,48.4,39.2,0,0,0
Oregon,60,0.003184760187557877,44.8086,0.929,0.449,1.6,0.1385,0.161,48.4,39.2,1,0,0
Oregon,90,0.00414018824382524,44.8086,0.929,0.449,1.6,0.1385,0.161,48.4,39.2,0,1,0
Oregon,120,0.005683572027026364,44.8086,0.929,0.449,1.6,0.1385,0.161,48.4,39.2,0,0,1
Pennsylvania,30,0.0039323910188254424,286.5454,0.922,0.461,2.9,0.1234,0.187,48.8,40.7,0,0,0
Pennsylvania,60,0.029958096191131402,286.5454,0.922,0.461,2.9,0.1234,0.187,48.8,40.7,1,0,0
Pennsylvania,90,0.04739195697041716,286.5454,0.922,0.461,2.9,0.1234,0.187,48.8,40.7,0,1,0
Pennsylvania,120,0.05378697854775158,286.5454,0.922,0.461,2.9,0.1234,0.187,48.8,40.7,0,0,1
Rhode Island,30,0.008233880050349704,1021.4313,0.92,0.467,2.1,0.1259,0.149,50.1,39.9,0,0,0
Rhode Island,60,0.04533366142663802,1021.4313,0.92,0.467,2.1,0.1259,0.149,50.1,39.9,1,0,0
Rhode Island,90,0.07883703542461268,1021.4313,0.92,0.467,2.1,0.1259,0.149,50.1,39.9,0,1,0
Rhode Island,120,0.09322266493786734,1021.4313,0.92,0.467,2.1,0.1259,0.149,50.1,39.9,0,0,1
South Carolina,30,0.0019976109380296695,173.3176,0.89,0.461,2.4,0.1555,0.188,62.4,39.2,0,0,0
South Carolina,60,0.00788955431080405,173.3176,0.89,0.461,2.4,0.1555,0.188,62.4,39.2,1,0,0
South Carolina,90,0.012712069605643351,173.3176,0.89,0.461,2.4,0.1555,0.188,62.4,39.2,0,1,0
South Carolina,120,0.020641979692973253,173.3176,0.89,0.461,2.4,0.1555,0.188,62.4,39.2,0,0,1
South Dakota,30,9.256163158387993e-4,11.9116,0.929,0.442,4.8,0.1309,0.193,45.2,36.8,0,0,0
South Dakota,60,0.005553697895032796,11.9116,0.929,0.442,4.8,0.1309,0.193,45.2,36.8,1,0,0
South Dakota,90,0.009371865197867844,11.9116,0.929,0.442,4.8,0.1309,0.193,45.2,36.8,0,1,0
South Dakota,120,0.01365284065862229,11.9116,0.929,0.442,4.8,0.1309,0.193,45.2,36.8,0,0,1
Tennessee,30,0.0015937237355080143,167.2749,0.892,0.468,2.9,0.1573,0.226,57.6,38.7,0,0,0
Tennessee,60,0.0039692742091897715,167.2749,0.892,0.468,2.9,0.1573,0.226,57.6,38.7,1,0,0
