State,state,TIME,MR,PD,GINI,BEDS,SR,HDI,LE,PR,T90,T180
New Jersey,NJ,180,0.18001900507102134,1215.1985,0.464,2.4,0.13699999999999998,0.943,80.4,0.1018,0,1
New Mexico,NM,30,0.001720487662669719,17.285,0.464,1.8,0.175,0.9,78.1,0.1961,0,0
New Mexico,NM,90,0.02059806062807358,17.285,0.464,1.8,0.175,0.9,78.1,0.1961,1,0
New Mexico,NM,180,0.03909330300177306,17.285,0.464,1.8,0.175,0.9,78.1,0.1961,0,1
Nevada,NV,30,0.003831876421985391,28.5993,0.448,2.1,0.17600000000000002,0.902,78.5,0.1346,0,0
Nevada,NV,90,0.015327505687941565,28.5993,0.448,2.1,0.17600000000000002,0.902,78.5,0.1346,1,0
Nevada,NV,180,0.04878799801563542,28.5993,0.448,2.1,0.17600000000000002,0.902,78.5,0.1346,0,1
New York,NY,30,0.0028850319851160895,412.5218,0.499,2.7,0.141,0.942,81.3,0.1426,0,0
New York,NY,90,0.04195020006626399,412.5218,0.499,2.7,0.141,0.942,81.3,0.1426,1,0
New York,NY,180,0.04564059433697785,412.5218,0.499,2.7,0.141,0.942,81.3,0.1426,0,1
Ohio,OH,30,0.0027830508765751293,287.504,0.452,2.8,0.21100000000000002,0.913,76.9,0.1414,0,0
Ohio,OH,90,0.02193799981102741,287.504,0.452,2.8,0.21100000000000002,0.913,76.9,0.1414,1,0
Ohio,OH,180,0.037820287066544125,287.504,0.452,2.8,0.21100000000000002,0.913,76.9,0.1414,0,1
Oklahoma,OK,30,0.0031392446415901424,57.6546,0.454,2.8,0.201,0.894,76,0.1551,0,0
Oklahoma,OK,90,0.009162510783177733,57.6546,0.454,2.8,0.201,0.894,76,0.1551,1,0
Oklahoma,OK,180,0.022944560429183233,57.6546,0.454,2.8,0.201,0.894,76,0.1551,0,1
Oregon,OR,30,8.084391245339227e-4,44.8086,0.449,1.6,0.161,0.929,79.8,0.1385,0,0
Oregon,OR,90,0.0039931993120918,44.8086,0.449,1.6,0.161,0.929,79.8,0.1385,1,0
Oregon,OR,180,0.011636623762230703,44.8086,0.449,1.6,0.161,0.929,79.8,0.1385,0,1
Pennsylvania,PA,30,0.002423541184564388,286.5454,0.461,2.9,0.187,0.922,78.3,0.1234,0,0
Pennsylvania,PA,90,0.04653980861842517,286.5454,0.461,2.9,0.187,0.922,78.3,0.1234,1,0
Pennsylvania,PA,180,0.060666708361998875,286.5454,0.461,2.9,0.187,0.922,78.3,0.1234,0,1
Rhode Island,RI,30,0.007571383954344554,1021.4313,0.467,2.1,0.149,0.92,79.9,0.1259,0,0
Rhode Island,RI,90,0.07883703542461268,1021.4313,0.467,2.1,0.149,0.92,79.9,0.1259,1,0
Rhode Island,RI,180,0.10136190268878773,1021.4313,0.467,2.1,0.149,0.92,79.9,0.1259,0,1
South Carolina,SC,30,0.0020985003793442996,173.3176,0.461,2.4,0.188,0.89,77,0.1555,0,0
South Carolina,SC,90,0.012046199292966795,173.3176,0.461,2.4,0.188,0.89,77,0.1555,1,0
South Carolina,SC,180,0.0617241601962905,173.3176,0.461,2.4,0.188,0.89,77,0.1555,0,1
South Dakota,SD,30,6.942122368790995e-4,11.9116,0.442,4.8,0.193,0.929,79.1,0.1309,0,0
South Dakota,SD,90,0.008677652960988744,11.9116,0.442,4.8,0.193,0.929,79.1,0.1309,1,0
South Dakota,SD,180,0.021173473224812535,11.9116,0.442,4.8,0.193,0.929,79.1,0.1309,0,1
Tennessee,TN,30,0.0015035129580264288,167.2749,0.468,2.9,0.226,0.892,76,0.1573,0,0
Tennessee,TN,90,0.0068560190886005155,167.2749,0.468,2.9,0.226,0.892,76,0.1573,1,0
Tennessee,TN,180,0.028506605684181088,167.2749,0.468,2.9,0.226,0.892,76,0.1573,0,1
Texas,TX,30,6.347453129258531e-4,112.8204,0.469,2.3,0.157,0.909,79.1,0.1511,0,0
Texas,TX,90,0.006562621031945261,112.8204,0.469,2.3,0.157,0.909,79.1,0.1511,1,0
Texas,TX,180,0.04808285398706124,112.8204,0.469,2.3,0.157,0.909,79.1,0.1511,0,1
